Count;Bottom;Top
1;0;0
60;0;0
120;0;0
180;0;0
240;0;0
300;0;0
360;0;1
420;0;1
480;0;1
540;0;1
600;0;2
660;0;2
720;0;3
780;0;4
840;0;4
900;0;5
960;0;5
1020;0;6
1080;0;8
1140;0;8
1200;0;10
1260;0;10
1320;0;13
1380;0;15
1440;1;15
1500;1;13
1560;1;14
1620;1;20
1680;1;17
1740;1;17
1800;1;17
1860;1;19
1920;1;21
1980;1;21
2040;1;24
2100;1;23
2160;1;26
2220;1;25
2280;1;29
2340;1;28
2400;2;31
2460;1;32
2520;2;33
2580;1;35
2640;2;46
2700;2;40
2760;2;43
2820;2;47
2880;2;52
2940;2;49
3000;2;54
3060;2;56
3120;2;66
3180;2;61
3240;2;62
3300;2;64
3360;2;68
3420;2;67
3480;3;68
3540;3;74
3600;3;81
3660;3;78
3720;3;82
3780;4;24
3840;22;25
3900;21;25
3960;22;25
4020;24;25
4080;25;25
4140;24;29
4200;27;26
4260;26;27
4320;23;27
4380;23;28
4440;23;26
4500;23;26
4560;25;26
4620;24;26
4680;26;28
4740;27;25
4800;24;26
4860;24;27
4920;28;26
4980;25;27
5040;26;26
5100;25;27
5160;26;27
5220;26;27
5280;26;27
5340;25;29
5400;28;31
5460;26;29
5520;29;27
5580;28;28
5640;26;29
5700;27;30
5760;29;29
5820;27;30
5880;28;31
5940;30;28
6000;32;32
